Date,ACA.PA,AI.PA,AIR.PA,BNP.PA,CS.PA,DG.PA,EL.PA,KER.PA,MC.PA,OR.PA,RMS.PA,SAF.PA,SAN.PA,SU.PA,TTE.PA,^FCHI
2021-11-04,9.48369312286377,114.98983764648438,100.00042724609375,43.804718017578125,20.159975051879883,77.19306182861328,172.40367126464844,574.048828125,638.7958374023438,384.4207763671875,1377.6412353515625,110.5377197265625,76.4351806640625,142.66709899902344,33.36277389526367,6987.7900390625
2021-11-05,9.579136848449707,115.37458038330078,104.49586486816406,44.12353515625,20.120521545410156,79.08834075927734,171.2007293701172,583.6900024414062,653.9239501953125,388.1822509765625,1394.849853515625,116.09354400634766,75.38695526123047,142.03663635253906,33.4861946105957,7040.7900390625
2021-11-08,9.56033706665039,115.77470397949219,106.0921859741211,44.034568786621094,20.191532135009766,78.5007095336914,171.1642608642578,587.493408203125,652.5403442382812,387.6650695800781,1402.0198974609375,115.862060546875,75.17390441894531,143.29754638671875,33.55561828613281,7047.47998046875
2021-11-09,9.472124099731445,116.11327362060547,106.71604919433594,43.64901351928711,20.0061092376709,78.16139221191406,168.26626586914062,603.1493530273438,652.4480590820312,389.827880859375,1377.1632080078125,116.34432983398438,75.51478576660156,143.03793334960938,33.582611083984375,7043.27001953125
2021-11-10,9.297142028808594,117.005859375,106.60595703125,43.89369583129883,20.25465965270996,78.7903823852539,166.20668029785156,588.0241088867188,644.4227294921875,389.63983154296875,1367.125,118.63996124267578,76.54595947265625,142.7598114013672,33.8757438659668,7045.16015625
2021-11-11,9.32172679901123,117.22130584716797,105.22979736328125,44.10129928588867,20.321725845336914,77.71446990966797,165.42295837402344,582.5401000976562,650.695556640625,389.7338562011719,1377.6412353515625,117.27030944824219,76.60562133789062,143.53860473632812,33.8371696472168,7059.5498046875
2021-11-12,9.206036567687988,117.55986785888672,102.88117218017578,43.945594787597656,20.341455459594727,77.59033203125,166.86282348632812,599.5227661132812,666.83837890625,395.8462219238281,1413.4925537109375,116.82661437988281,76.03463745117188,144.65115356445312,33.30491256713867,7091.39990234375
2021-11-15,9.242188453674316,116.94429779052734,104.62429809570312,45.39141845703125,20.40457534790039,78.31864166259766,168.12045288085938,602.79541015625,664.9011840820312,398.7613525390625,1434.047119140625,116.38291931152344,76.75901794433594,144.85511779785156,33.66361618041992,7128.6298828125
2021-11-16,9.185791015625,116.23637390136719,105.50503540039062,44.657379150390625,20.163917541503906,78.14363861083984,171.36476135253906,629.0654296875,673.1110229492188,401.7235107421875,1468.4642333984375,115.2447509765625,76.84423828125,144.5213623046875,33.83332443237305,7152.60009765625
2021-11-17,9.230621337890625,116.71345520019531,104.99127960205078,44.62030792236328,20.17180824279785,77.40194702148438,171.47412109375,637.8221435546875,669.7901611328125,404.1684265136719,1472.288330078125,112.08100128173828,77.210693359375,147.0616912841797,33.586463928222656,7156.85009765625
2021-11-18,9.146744728088379,116.9596939086914,103.90869903564453,44.13095474243164,20.065288543701172,76.08524322509766,176.0307159423828,635.6994018554688,672.0039672851562,397.6799621582031,1522.47998046875,111.71448516845703,75.22503662109375,148.0259246826172,33.223915100097656,7141.97998046875
2021-11-19,9.022377967834473,118.11388397216797,100.36739349365234,42.79635238647461,19.85619354248047,73.87686920166016,176.21298217773438,634.1072387695312,676.6162109375,400.1248474121094,1601.8306884765625,108.95586395263672,75.76193237304688,149.6576690673828,32.317527770996094,7112.2900390625
2021-11-22,9.198805809020996,118.05233001708984,99.798583984375,43.47848129272461,20.03767204284668,74.61021423339844,175.75730895996094,625.9697265625,671.8195190429688,392.93109130859375,1571.2376708984375,107.6440658569336,76.1539535522461,150.2881317138672,32.70322799682617,7105.0
2021-11-23,9.129392623901367,116.52877807617188,101.1563949584961,43.663841247558594,20.116575241088867,75.48523712158203,170.5445556640625,622.9624633789062,662.4105224609375,387.14788818359375,1546.85888671875,108.2420883178711,75.31877136230469,148.24842834472656,33.081214904785156,7044.6201171875
2021-11-24,9.158313751220703,116.71345520019531,102.25731658935547,43.40433883666992,20.152084350585938,76.33525085449219,171.45590209960938,628.3578491210938,669.7901611328125,387.9471435546875,1557.375,108.49288177490234,74.40690612792969,144.7809600830078,33.25863265991211,7042.22998046875
2021-11-25,9.125053405761719,116.46723175048828,102.99126434326172,43.54521179199219,20.09684944152832,76.4769287109375,171.7292938232422,635.61083984375,677.7232055664062,390.72125244140625,1583.666259765625,108.66649627685547,73.84443664550781,145.30015563964844,33.23548889160156,7075.8701171875
2021-11-26,8.724475860595703,114.29731750488281,91.15635681152344,40.994632720947266,19.11449432373047,70.01841735839844,163.01705932617188,588.643310546875,638.3345336914062,378.3084411621094,1533.474365234375,97.51627349853516,72.44680786132812,140.53469848632812,31.26457977294922,6739.72998046875
2021-11-29,8.772198677062988,113.38934326171875,91.45909881591797,41.061363220214844,19.122386932373047,70.13510131835938,164.384033203125,604.8298950195312,643.1314697265625,377.8382568359375,1567.8914794921875,97.99854278564453,72.95814514160156,140.21946716308594,31.781415939331055,6776.25
2021-11-30,8.724475860595703,112.20436096191406,90.56919860839844,40.83892822265625,19.21312713623047,69.71842956542969,161.32200622558594,602.7070922851562,636.0903930664062,373.7947082519531,1580.3197021484375,95.27850341796875,71.46675872802734,144.8365936279297,31.326290130615234,6721.16015625
2021-12-01,8.898012161254883,113.75868225097656,93.5049819946289,41.95851135253906,19.911426544189453,71.93514251708984,165.53228759765625,623.669921875,646.1885986328125,381.9288330078125,1595.1383056640625,99.46466827392578,73.15414428710938,150.9000244140625,32.348388671875,6881.8701171875
2021-12-02,8.886442184448242,112.26591491699219,92.752685546875,41.854713439941406,19.80885124206543,72.28514862060547,161.7958984375,613.40966796875,636.0903930664062,374.4059143066406,1545.902587890625,98.51940155029297,71.74799346923828,149.3980712890625,32.417808532714844,6795.75
2021-12-03,8.850288391113281,112.38902282714844,90.41323852539062,41.6471061706543,19.72994613647461,71.10179138183594,161.3037872314453,605.0067749023438,634.608154296875,376.991943359375,1535.864501953125,95.16276550292969,71.39005279541016,148.22988891601562,32.65694046020508,6765.52001953125
2021-12-06,8.905241966247559,114.46659088134766,94.34901428222656,42.51459503173828,20.092905044555664,72.59349822998047,163.2175750732422,615.001708984375,639.3330078125,384.23272705078125,1490.452880859375,100.10126495361328,71.88434600830078,149.8616485595703,33.50933837890625,6865.77978515625
2021-12-07,9.013701438903809,119.51432800292969,97.13802337646484,43.19672775268555,20.215206146240234,73.4935302734375,169.65147399902344,650.2938232421875,671.6655883789062,399.46661376953125,1548.292724609375,102.30044555664062,72.74508666992188,155.07212829589844,34.15730667114258,7065.39013671875
2021-12-08,8.970317840576172,119.52971649169922,98.40409088134766,43.100345611572266,20.156028747558594,72.61015319824219,167.81060791015625,634.637939453125,662.123291015625,393.3072204589844,1507.6614990234375,103.70869445800781,72.09740447998047,154.1820831298828,34.11874008178711,7014.56982421875
2021-12-09,8.90379524230957,119.1757583618164,96.7894058227539,42.57391357421875,20.14419174194336,71.91014862060547,169.30517578125,626.8541870117188,662.401123046875,394.1065673828125,1522.47998046875,102.20398712158203,71.66276550292969,155.59132385253906,33.90660095214844,7008.22998046875
2021-12-10,8.845951080322266,118.89875030517578,96.86280822753906,42.0474853515625,20.017948150634766,71.20179748535156,168.72193908691406,619.6012573242188,657.76904296875,395.9402770996094,1522.47998046875,100.13984680175781,73.74217987060547,154.75689697265625,34.0107421875,6991.68017578125
2021-12-13,8.763521194458008,119.25270080566406,94.5692138671875,41.521060943603516,19.97849464416504,70.61011505126953,166.77169799804688,613.9403076171875,656.8427124023438,393.0721740722656,1512.9195556640625,97.11115264892578,73.66548156738281,154.84962463378906,33.520912170410156,6942.91015625
2021-12-14,8.840167045593262,117.66759490966797,94.03709411621094,41.587791442871094,20.069232940673828,70.63511657714844,164.1470947265625,610.3138427734375,649.9869384765625,390.43914794921875,1491.4088134765625,96.99541473388672,72.84735107421875,150.9000244140625,33.733036041259766,6895.31005859375
2021-12-15,8.776535987854004,118.43707275390625,91.73433685302734,41.43950653076172,20.069232940673828,70.50177764892578,166.0973358154297,614.2057495117188,659.5293579101562,392.41387939453125,1529.17236328125,95.00843048095703,73.89557647705078,152.97679138183594,33.389766693115234,6927.6298828125
2021-12-16,8.821367263793945,119.05264282226562,93.94535827636719,42.23284912109375,20.321725845336914,72.0018081665039,167.9746551513672,615.532470703125,660.8262939453125,393.4953308105469,1551.160888671875,96.45526885986328,74.25350952148438,155.59132385253906,34.462005615234375,7005.06982421875
2021-12-17,8.681093215942383,117.57525634765625,95.54168701171875,41.6471061706543,20.025836944580078,72.1851577758789,164.36581420898438,610.136962890625,647.5783081054688,388.4173278808594,1457.947998046875,97.65129852294922,74.0489730834961,153.6072540283203,33.679046630859375,6926.6298828125
2021-12-20,8.601554870605469,115.15912628173828,93.6334228515625,41.83246994018555,19.631319046020508,71.46014404296875,164.1653289794922,603.1493530273438,646.466552734375,386.4896240234375,1475.63427734375,95.91510772705078,74.0574951171875,152.66159057617188,33.45148849487305,6870.10009765625
2021-12-21,8.802566528320312,115.29762268066406,97.98206329345703,43.6416015625,20.04950714111328,73.093505859375,165.67811584472656,604.47607421875,649.8944091796875,390.1570129394531,1468.9422607421875,97.94066619873047,74.72222900390625,154.21914672851562,34.2498664855957,6964.990234375
2021-12-22,8.858966827392578,115.68235778808594,101.90869903564453,44.004905700683594,20.14813804626465,74.45186614990234,169.0682373046875,608.4563598632812,662.7717895507812,394.01251220703125,1482.3265380859375,100.8536148071289,74.87562561035156,155.70257568359375,34.48900604248047,7051.669921875
